bodyweight_kg,bench_kg
107.5,249.48
99.52,204.12
82.1,233.6
82.1,233.6
59.15,147.42
72.57,158.76
82.01,167.83
81.56,190.51
99.79,226.8
96.62,210.92
108.32,192.78
100.15,142.88
112.58,249.48
112.49,204.12
112.94,197.31
92.26,99.79
81.65,136.08
105.05,204.12
72.57,158.76
88.27,204.12
88.09,199.58
108.68,256.28
106.59,238.14
88.9,156.49
73.94,235.87
73.3,
78.47,
101.88,
107.32,
101.88,
66.13,
58.97,
53.52,
76.48,
65.59,
71.85,
89.18,
105.87,
105.87,
65.32,
105.23,
107.95,
92.26,
96.16,
74.57,
109.32,
92.26,
88.99,
105.23,
58.79,
73.94,
66.41,
131.81,
65.59,
58.79,
131.9,
74.93,111.13
59.42,92.99
66.04,231.33
124.47,233.6
80.38,185.97
117.03,288.03
124.56,181.44
107.86,185.97
58.51,136.08
74.84,233.6
81.28,176.9
109.5,226.8
117.03,288.03
73.12,97.52
124.56,
73.12,
86.82,
65.32,95.25
62.14,106.59
65.32,95.25
90.72,124.74
73.94,104.33
66.22,102.06
90.72,124.74
54.16,97.52
97.98,138.35
113.4,226.8
84.82,195.04
102.51,244.94
75.98,185.97
99.34,206.38
96.62,151.95
102.51,244.94
113.4,226.8
146.51,285.76
146.51,285.76
85.73,165.56
83.91,136.08
96.62,151.95
108.91,113.4
77.11,61.23
113.4,
113.4,
97.98,
97.98,
73.94,
92.08,
51.71,
73.94,
54.16,
88,
50.35,65.77
81.83,104.33
107.95,120.2
87,117.93
58.97,77.11
81.83,104.33
72.12,106.59
99.25,254.01
135.44,219.99
89.18,170.1
117.93,244.94
99.79,185.97
73.98,
158.76,
73.98,
158.76,
74.39,72.57
50.8,79.38
58.15,102.06
63.5,99.79
44.72,65.77
109.5,70.31
97.52,231.33
72.57,102.06
106.59,249.48
81.65,204.12
81.01,242.67
107.95,235.87
88.54,206.38
109.32,204.12
88,265.35
97.52,260.82
80.29,195.04
86.18,201.85
82.37,197.31
72.76,170.1
97.07,199.58
96.62,199.58
64.41,142.88
58.42,95.25
63.5,
86.18,
107.5,
58.42,
148.32,
98.61,
109.5,
98.61,
63.5,
62.51,102.06
74.39,124.74
62.51,102.06
86.18,68.04
89.18,183.7
35.92,29.48
41.73,45.36
66.22,179.17
71.58,183.7
81.47,197.31
80.47,174.63
77.02,145.15
98.7,226.8
63.41,111.13
88.72,206.38
89.18,183.7
101.51,195.04
87.36,183.7
86.64,183.7
83.91,165.56
66.22,88.45
88.72,
125.65,
74.39,88.45
87.09,111.13
102.56,133.81
74.39,88.45
87.09,111.13
81.28,99.79
85.64,106.59
65.68,106.59
89.63,181.44
74.12,204.12
72.76,174.63
79.47,179.17
80.47,172.37
81.47,158.76
88.9,217.72
89.63,226.8
88.81,199.58
97.16,240.4
133.81,276.69
112.04,226.8
89.45,206.38
93.98,
93.98,
73.3,
66.27,124.74
95.03,124.74
74.66,106.59
42.18,43.09
97.07,156.49
81.65,183.7
89.81,215.46
122.02,192.78
76.7,174.63
40.37,49.9
129.27,
63.68,
51.26,95.25
62.14,115.67
63.5,97.52
66.68,147.42
65.77,90.72
73.94,104.33
110.22,158.76
67.13,138.35
64.86,127.01
82.1,115.67
89.81,224.53
89.81,224.53
84.82,115.67
86.64,263.08
98.88,276.69
97.07,210.92
107.95,226.8
107.05,181.44
103.42,195.04
107.05,231.33
107.95,226.8
121.56,161.03
119.29,319.78
74.84,
89.81,
89.81,
88.9,
88.9,
107.95,
107.95,
119.75,
98.43,
119.29,
53.07,131.54
53.07,131.54
73.03,104.33
77.02,115.67
61.23,108.86
61.51,102.06
49.71,115.67
50.89,70.31
66.77,95.25
60.06,102.06
111.13,249.48
73.94,163.29
124.1,240.4
112.04,154.22
73.94,233.6
87,192.78
73.94,233.6
80.42,204.12
79.83,174.63
86.64,
79.83,
79.83,
70.94,
82.1,
49.53,
70.81,111.13
84.82,99.79
95.98,111.13
72.21,92.99
71.03,158.76
89.9,297.1
97.98,219.99
93.89,147.42
89.49,183.7
89.9,297.1
89.77,219.99
67.59,113.4
70.99,136.08
60.46,102.06
74.84,
51.35,97.52
57.15,97.52
122.11,249.48
85.09,233.6
59.69,102.06
82.33,217.72
81.92,172.37
79.83,142.88
89.81,224.53
83.82,192.78
87.72,176.9
96.16,179.17
94.35,179.17
107.77,226.8
122.11,249.48
163.02,294.84
151.68,251.74
103.33,176.9
85.09,233.6
82.33,217.72
81.92,172.37
81.01,181.44
102.42,210.92
71,65
65,125
66,80
65,125
73,
88,182.5
85,152.5
96,217.5
100,200
97,192.5
96,
110,160
107,240
105,325
103,212.5
107,272.5
114,205
118,250
117,360
71,
67,
88,
88,
85,
90,
78,
110,
107,
102,
121,
120,
48,
56,
74,
90,
89,
97,
97,
95,
93,
67,
123,
102,
123,
137,
65,
61,
88,
86,
82,
77.5,127.5
56,77.5
89,200
86,207.5
89,135
96,215
99,330
107,217.5
108,257.5
136,290
80.4,162.5
60,
80,
50,
88,
94,
106,
130,
106.5,
96.4,
88.5,
51,
55,
73,
75,
89,
109,
67,
60,120.2
67.5,145.15
56,208.65
52,122.47
90,233.6
140,340.19
90,319.78
110,288.03
100,249.48
100,317.51
110,340.19
82.5,328.85
100,274.42
110,322.05
90,283.5
110,285.76
125,396.89
140,435.45
75,317.51
90,258.55
100,192.78
75,326.59
90,353.8
100,349.27
82.5,204.12
90,249.48
100,385.55
110,340.19
125,430.91
125,408.23
125,322.05
125,226.8
125,299.37
140,435.45
140,317.51
140,455.86
,458.13
110,
110,
125,
125,390.09
67.5,
125,
110,
140,
82.5,
52,
82.5,
110,
75,
125,
,
,
,
100,120.2
60,52.16
67.5,77.11
67.5,77.11
,278.96
90,120.2
90,190.51
67.5,70.31
67.5,154.22
110,208.65
56,115.67
75,174.63
100,260.82
110,208.65
,181.44
75,149.69
110,247.21
75,124.74
82.5,197.31
82.5,158.76
90,183.7
100,197.31
100,149.69
60,
82.5,
100,
82.5,
100,
140,
90,
82.5,
82.5,
82.5,
100,
100,
,
108.4,227.5
106.2,237.5
152.9,292.5
129.1,250
129.1,250
138,262.5
135,207.5
122.5,252.5
97.5,150
150.7,260
104.9,170
95.9,235
108.5,
159.5,272.5
113.1,240
106.4,187.5
97.6,177.5
107.8,257.5
107.8,257.5
107.4,240
139.1,205
98.4,52.5
125.8,
96.3,155
104.1,115
94.2,150
94.2,150
103.4,200
129.6,240
153,
130.6,102.5
130.6,102.5
95.6,260
95.6,260
108.6,187.5
80.5,190
86.7,170
79.6,110
82.8,147.5
74.1,105
74.1,105
65.9,90
77,77.5
79.8,165
80.9,200
74.1,207.5
74.1,207.5
88.5,160
76.3,167.5
72.2,182.5
73.7,215
65.6,112.5
59,77.5
87.9,110
77.2,160
54.8,120
64.9,100
64.9,100
55.7,95
97.8,140
74.4,132.5
79.8,185
83.7,75
80.8,187.5
89,
98.5,137.5
98.5,137.5
75,130
105.1,115
71.3,160
86.7,147.5
69.4,87.5
71.9,142.5
95,82.5
78.5,102.5
58.5,82.5
86.4,162.5
113.5,105
89.1,172.5
88.5,195
55.6,70
81.4,227.5
81.4,227.5
88.6,235
80.9,
80.9,
86.1,115
70.4,195
115.5,110
81.1,
139.3,
66.1,
90.6,
90.6,
123.5,
190.6,
81.6,
81.6,
88.1,
108.3,
107.4,
107.4,
108.1,
120.7,
98.1,
75.2,
89.5,
120.4,
120.8,
104.9,
104.9,
124.2,
128.6,
114.6,
122.4,
122.4,
102.9,
102.8,
89.5,
89.5,
131.9,
131.9,
87.1,
96,
88.3,
187.2,
87.1,
106.1,
87.5,
108.3,
69,
69,
89,
89,
124.2,
122.4,
122.4,
79.2,
116.4,
116.6,
98,
73.9,
118.8,
89.4,
121.6,
65.3,
62.6,
92.5,
95.3,
108.4,
80.3,
106.6,
83.9,
99.8,
71.7,
64.9,
80.7,
68.9,
73.5,
78,
82.1,
99.8,
99.3,
98,
94.8,
103.9,
104.8,
112.9,
126.6,
102.1,
117.9,
112.9,
139.1,
97.7,
66.3,
119.6,
107.2,
83.6,
98,
117.2,
117.2,
88,
54.3,
96.7,
103.2,
60.5,
55.3,
55.3,
125.8,
81.3,
107.6,
125.3,
96.1,
59.3,
64.4,
200,
175,
100,
107.6,
89.7,
116.1,
73.6,
73.6,
124.5,
96.7,
102.8,
116.4,
73.1,
73.1,
103.9,
74.9,
92.3,
70.8,
73.4,
70.6,
92.7,
74.3,
122.7,
87.7,
120.4,
74.7,
80.5,
79.8,
81.3,
81.3,
90,
66.9,
97.7,
66.3,
83.6,
120.3,
98,
98.7,
94,
96.7,
53.7,
131.9,
95.8,
107.6,
125.3,
96.1,
59.3,
64.5,
63.6,
95.8,
107.6,
66.8,
68.9,
68.9,
116.1,
86.9,
63.6,
98.2,
68,
68,
89.2,
81.8,
102.8,
99,
106.1,
85.1,
100,
74.9,
74.9,
70.8,
115.7,
115.7,
115.7,
115.7,
66.6,
89.9,
74.3,
74.7,
111.8,
79.8,
123.2,215
89,212.5
109,227.5
81.2,212.5
74,182.5
100.8,202.5
98.8,197.5
59,90
88.2,247.5
94,187.5
85.2,137.5
89,145
73.8,185
122.6,250
79.6,212.5
98.8,125
97.4,200
98.8,172.5
126.2,232.5
66.4,155
47.2,90
97.8,225
124.6,
88.8,202.5
62,77.5
89,220
105.2,160
119.4,272.5
89.5,200
99.4,172.5
109,240
110.2,242.5
70.6,132.5
